name,role,tier,score,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
hgb82+K1K4_w0,candidate,,833.1597616200023,0.008331597616200023,0.24757880609510574,0.6883536985088871,0.5518282728560712,0.4916175840999479,-0.01337661530076828,1420.6068792084525,-60.81128677969023,35.00450446998086,3,222.3156676914234,True,,,
hgb82+K1K4_w0.5,candidate,,793.294439371084,0.007932944393710839,0.24767960581476411,0.6885077684769998,0.5481630087344975,0.4981894088170887,-0.006804790583627447,997.5786167375971,414.0389293336007,28.702289415582516,3,182.45034544250507,True,,,
rf_official+K1K4_w0.5,candidate,,759.2011455401226,0.007592011455401226,0.24776432407565827,0.689514905747488,0.5484999165745618,0.49476788971313596,-0.010226309687580168,837.4622650055102,617.1193113897689,24.08616131402636,3,148.35705161154374,True,,,
rf_official+K4_w0.5,candidate,,673.6885251567682,0.006736885251567681,0.24797801099389627,0.6890748292919001,0.5484672792236459,0.491361697495996,-0.013632501904720077,482.70785786137895,702.1719808190996,30.07599803138579,3,62.84443122818925,True,,,
rf_official+K1K4_w0,candidate,,671.2952748748576,0.006712952748748576,0.2479821139903542,0.6900099469669239,0.5514426460258525,0.48804439636285774,-0.016949803037858424,830.2525910520757,208.29670368522534,33.31085814911504,3,60.45118094627867,True,,,
rf_official+K3_flat,candidate,,639.6827674537013,0.006396827674537013,0.24806370917825468,0.6892607374764487,0.5477279477129509,0.5114180319339711,0.00642383253325494,-199.85350353954507,189.44140838342105,6.932081767543487,3,28.83867352512243,True,,,
rf_official+K3_hedge,candidate,,631.3489836326477,0.006313489836326477,0.24808453838104802,0.6893079665621024,0.5477279477129509,0.5056454891576605,0.0006512897569443584,-159.09541129144685,187.81520790196828,9.23122760491013,3,20.504889704068773,True,,,
rf_official+K0,candidate,,610.8440939285789,0.006108440939285789,0.24813579349250567,0.6894103652610429,0.5477279477129509,0.5172588574582424,0.012264658057526301,-366.7098434238181,84.25409261371881,0.0,3,0.0,False,,,
rf_official+K3_ex,candidate,,582.8467658433478,0.005828467658433478,0.2482055181227508,0.6895571982423107,0.5477279477129509,0.4998746931359474,-0.005119506264768777,-157.7745854102716,145.66284634802693,13.83140031172212,3,-27.99732808523106,False,,,
rf_official+K4_w0,candidate,,554.9241920244382,0.0055492419202443815,0.2482726031968265,0.6897044607203076,0.5514522098637098,0.4845732430182434,-0.02042095638247271,353.96757289954576,259.5566938265459,40.95287054852909,3,-55.919901904140715,False,,,
hgb82+K0,candidate,,468.57287750913247,0.004685728775091325,0.24849201022137968,0.6902691597040221,0.5488440020444251,0.5164151037415,0.011420904340783892,-703.5426350108786,-631.4132523897713,23.286942649403727,3,-142.27121641944643,False,,,
hgb82+K3_flat,candidate,,466.7587124268105,0.004667587124268105,0.24849646045368376,0.6902737767499723,0.5488440020444251,0.5109866960948465,0.005992496694130323,-652.7070411567676,-486.4617718088696,25.957021095325672,3,-144.08538150176838,False,,,
hgb82+K3_hedge,candidate,,456.9124894653924,0.004569124894653924,0.24852111766604823,0.6903197934702975,0.5488440020444251,0.5052243721475177,0.00023017274680153799,-617.2212393838137,-478.6916445817487,27.0395798084497,3,-153.9316044631865,False,,,
hgb82+K4_w0,candidate,,407.71908847879735,0.004077190884787973,0.2486414671382133,0.6906499189238766,0.5515271141237207,0.4845630770228069,-0.02043112237790921,-208.03570653787528,23.387286236364883,49.99140357163773,3,-203.12500544978155,False,,,
hgb82+K3_ex,candidate,,407.3188775910267,0.004073188775910267,0.24864487662342738,0.6905685338330585,0.5488440020444251,0.49946377001627984,-0.005530429384436246,-619.4618615118792,-511.0942315011302,29.192065370619503,3,-203.5252163375522,False,,,
hgb82+K4_w0.5,candidate,,358.3982452280199,0.003583982452280199,0.24876598291383564,0.6909350316004943,0.5484867446012781,0.4912532521130079,-0.013740947287708213,-599.8630112734642,522.2832934266879,43.31457668835873,3,-252.445848700559,False,,,
